time,tgt_cur,temp,pre_cur,pre_vel,ang[1],tgt_torq,run_mode
1885,-113,0,0,0,0,-2.35,0
1892,-113,38,0,0,0,-2.35,0
1896,-142,91,-75,-244,-3.6,-2.95,0
1903,-142,124,-101,-667,-3.6,-2.95,0
1910,-148,124,-92,-1095,-4,-3.06,0
1916,-153,124,-104,-1560,-4.4,-3.18,0
1922,-165,108,-116,-2037,-5.2,-3.42,0
1929,-178,56,-123,-2584,-6,-3.68,0
1935,-197,22,-127,-3172,-7.2,-4.08,0
1941,-218,22,-155,-3762,-8.4,-4.52,0
1948,-249,22,-165,-4487,-10,-5.15,0
1955,-292,22,-176,-5306,-12,-6.04,0
1961,-352,22,-216,-6215,-14.4,-7.28,0
1968,-420,22,-199,-7143,-16.8,-8.67,0
1974,-514,22,-121,-7424,-20,-10.62,0
1981,-603,22,-244,-7152,-23.2,-12.44,0
1987,-671,22,-315,-6918,-26.4,-13.86,0
1994,-713,22,-362,-6734,-29.6,-14.71,0
2001,-723,22,-473,-6605,-32.4,-14.93,0
2008,-713,22,-523,-6638,-35.2,-14.72,0
2014,-682,22,-533,-6674,-38.4,-14.08,0
2020,-646,22,-480,-6578,-41.2,-13.33,0
2027,-606,22,-522,-6506,-44,-12.52,0
2033,-567,22,-519,-6536,-46.8,-11.71,0
2041,-534,22,-500,-6550,-49.6,-11.02,0
2047,-499,22,-466,-6490,-52.8,-10.31,0
2053,-466,22,-494,-6492,-55.6,-9.63,0
2060,-433,22,-535,-6578,-58.4,-8.94,0
2066,-398,22,-487,-6245,-61.2,-8.22,0
2073,-351,22,-460,-5561,-64,-7.25,0
2080,-321,22,-428,-4812,-66.4,-6.63,0
2086,-307,22,-373,-4075,-68.4,-6.35,0
2092,24,22,-336,-3724,-70.4,0.51,1
2097,28,22,-100,-2664,-71.6,0.58,1
2102,30,22,-75,-1752,-72.4,0.63,1
2107,32,22,-67,-994,-72.8,0.66,1
2112,33,22,-46,-343,-73.2,0.7,1
2117,33,22,-35,175,-73.2,0.7,1
2122,33,22,-6,491,-73.2,0.7,1
2127,33,22,0,661,-73.2,0.7,1
2132,32,22,8,796,-72.8,0.66,1
2137,30,22,6,856,-72.4,0.63,1
2141,30,22,24,859,-72.4,0.63,1
2146,29,22,26,878,-72,0.61,1
2151,28,22,35,859,-71.6,0.58,1
2156,28,22,25,933,-71.6,0.58,1
2160,27,22,29,966,-71.2,0.56,1
2166,25,22,23,1029,-70.8,0.53,1
2171,24,22,31,1040,-70.4,0.51,1
2176,23,22,27,1060,-70,0.49,1
2180,23,22,28,1106,-69.6,0.47,1
2185,23,22,25,1098,-69.6,0.47,1
2190,22,22,18,1142,-69.2,0.46,1
2195,21,22,20,1150,-68.8,0.44,1
2200,20,22,23,1181,-68.4,0.43,1
2206,20,22,20,1213,-68,0.41,1
2210,19,22,24,1222,-67.6,0.4,1
2215,18,22,22,1216,-67.2,0.39,1
2220,18,22,13,1252,-66.8,0.38,1
2225,17,22,19,1249,-66.4,0.37,1
2230,17,22,20,1249,-66,0.36,1
2235,16,22,6,1263,-65.6,0.35,1
2239,16,22,21,1293,-65.2,0.34,1
2244,16,22,19,1277,-64.8,0.33,1
2250,15,22,18,1307,-64.4,0.33,1
2255,15,22,9,1301,-63.6,0.32,1
2260,15,22,21,1285,-63.2,0.31,1
2265,14,22,18,1310,-62.8,0.31,1
2269,14,22,18,1310,-62.4,0.3,1
2274,14,22,15,1310,-62,0.3,1
2279,14,22,17,1312,-61.6,0.29,1
2284,14,22,16,1318,-61.2,0.29,1
2289,13,22,15,1318,-60.8,0.29,1
2294,13,22,16,1288,-60.4,0.28,1
2299,13,22,21,1288,-60,0.28,1
2304,13,22,14,1296,-59.6,0.28,1
2309,13,22,19,1290,-59.2,0.28,1
2314,13,22,20,1285,-58.8,0.27,1
2319,13,22,12,1304,-58.4,0.27,1
2323,13,22,19,1279,-57.6,0.27,1
2328,12,22,15,1230,-57.2,0.27,1
2334,12,22,18,1268,-56.8,0.26,1
2339,12,22,18,1263,-56.4,0.26,1
2344,12,22,21,1227,-56,0.26,1
2348,12,22,20,1230,-55.6,0.26,1
2353,12,22,16,1230,-55.2,0.26,1
2358,12,22,22,1192,-54.8,0.25,1
2363,12,22,23,1175,-54.4,0.25,1
2368,12,22,20,1161,-54,0.25,1
2372,11,22,19,1153,-53.6,0.25,1
2378,11,22,17,1148,-53.2,0.24,1
2383,11,22,18,1142,-53.2,0.24,1
2388,11,22,22,1098,-52.8,0.24,1
2393,11,22,19,1128,-52.4,0.24,1
2397,11,22,18,1093,-52,0.24,1
2402,11,22,15,1079,-51.6,0.23,1
2407,11,22,11,1054,-51.2,0.23,1
2412,11,22,17,1054,-50.8,0.23,1
2416,10,22,15,1104,-50.4,0.22,1
2422,10,22,14,1123,-50,0.22,1
2427,10,22,6,1230,-49.6,0.22,1
2432,10,22,12,1378,-49.2,0.21,1
2437,10,22,7,1549,-48.8,0.21,1
2441,10,22,2,1656,-48.4,0.21,1
2446,9,22,4,1782,-48,0.2,1
2451,9,22,0,1911,-47.2,0.19,1
2455,9,22,-14,2029,-46.8,0.19,1
2460,8,22,-6,2131,-46,0.18,1
2466,8,22,0,2158,-45.2,0.17,1
2470,8,22,1,2197,-44.8,0.17,1
2475,7,22,12,2238,-44,0.16,1
2480,7,22,-3,2213,-43.2,0.15,1
2485,6,22,11,2158,-42.4,0.14,1
2489,6,22,3,2131,-42,0.14,1
2494,6,22,14,2123,-41.2,0.13,1
2499,5,22,9,2095,-40.4,0.12,1
2503,5,22,13,2048,-39.6,0.11,1
2509,5,22,14,2021,-39.2,0.11,1
2514,4,22,13,1994,-38.4,0.1,1
2519,4,22,16,1994,-38,0.1,1
2523,4,22,15,1961,-37.2,0.09,1
2528,4,22,10,1919,-36.4,0.09,1
2533,4,22,10,1892,-36,0.08,1
2538,3,22,10,1878,-35.2,0.08,1
2542,3,22,11,1864,-34.8,0.08,1
2548,3,22,6,1933,-34,0.08,1
2553,3,22,2,2007,-33.6,0.08,1
2558,3,22,0,2186,-32.8,0.08,1
2562,4,22,-10,2403,-32,0.08,1
2567,4,22,-10,2595,-31.2,0.09,1
2572,4,22,-20,2782,-30.4,0.1,1
2577,5,22,-17,3037,-29.6,0.11,1
2581,5,22,-28,3306,-28.4,0.12,1
2586,6,22,-31,3468,-27.6,0.14,1
2592,7,22,-16,3702,-26.4,0.16,1
2597,9,22,-10,3880,-25.2,0.2,1
2601,11,22,-11,3982,-24,0.24,1
2606,14,22,1,4125,-22.4,0.3,1
2611,17,22,0,4130,-21.2,0.36,1
2616,20,22,-2,4218,-20,0.42,1
2620,24,22,10,4163,-18.4,0.51,1
2625,28,22,18,4248,-17.2,0.59,1
2630,34,22,17,4185,-15.6,0.71,1
2636,38,22,28,4226,-14.4,0.8,1
2641,45,22,43,4270,-12.8,0.93,1
2645,48,22,38,4358,-11.6,1,1
2650,48,22,35,4452,-10,1,1
2655,48,22,47,4520,-8.8,1,1
2660,48,22,31,4584,-7.2,1,1
2665,48,22,43,4625,-5.6,1,1
2669,-153,22,39,4729,-4.4,-3.18,0
2677,-124,22,-69,4441,-2,-2.56,0
2682,-113,22,-13,3257,-0.4,-2.35,0
2688,-114,22,6,1711,0.4,-2.37,0
2694,-121,22,41,-46,1.2,-2.51,0
2700,-121,22,11,-1480,1.2,-2.51,0
2707,-117,22,-15,-2318,0.8,-2.42,0
2713,-113,22,-32,-2636,0,-2.35,0
2716,-113,22,-62,-3070,-0.4,-2.35,0
2723,-124,22,-96,-3328,-2,-2.56,0
2729,-137,22,-103,-3677,-3.2,-2.84,0
2736,-159,22,-111,-3894,-4.8,-3.3,0
2742,-184,22,-122,-4496,-6.4,-3.81,0
2748,-218,22,-133,-5048,-8.4,-4.52,0
2755,-257,22,-163,-5688,-10.4,-5.32,0
2762,-321,22,-197,-6424,-13.2,-6.64,0
2768,-385,22,-273,-7064,-15.6,-7.96,0
2775,-479,22,-262,-7075,-18.8,-9.89,0
2781,-571,22,-319,-6965,-22,-11.79,0
2788,-649,22,-369,-6828,-25.2,-13.39,0
2794,-696,22,-445,-6638,-28,-14.36,0
2800,-722,22,-469,-6492,-31.2,-14.89,0
2808,-720,22,-502,-6572,-34,-14.86,0
2814,-700,22,-523,-6748,-36.8,-14.45,0
2821,-663,22,-471,-6704,-40,-13.68,0
2827,-623,22,-435,-6742,-42.8,-12.86,0
2834,-585,22,-393,-6849,-45.6,-12.08,0
2840,-541,22,-391,-6830,-48.8,-11.16,0
2848,-512,22,-352,-6891,-51.6,-10.57,0
2854,-474,22,-397,-6734,-54.8,-9.79,0
2860,-444,22,-462,-6715,-57.6,-9.16,0
2867,-396,22,-505,-6795,-60.8,-8.19,0
2873,-366,22,-489,-6668,-63.6,-7.55,0
2879,-321,22,-419,-6251,-66.4,-6.63,0
2886,-289,22,-369,-5737,-69.2,-5.98,0
2893,28,22,-322,-5388,-71.6,0.58,1
2898,35,22,-103,-4367,-73.6,0.73,1
2903,40,22,-51,-3411,-74.8,0.84,1
2908,47,22,-56,-2628,-76,0.97,1
2913,48,22,-37,-1952,-76.8,1,1
2918,48,22,-28,-1387,-77.6,1,1
2922,48,22,-22,-892,-78,1,1
2927,48,22,-11,-527,-78.4,1,1
2933,48,22,-3,-274,-78.4,1,1
2938,48,22,14,-54,-78.4,1,1
2942,48,22,24,96,-78.4,1,1
2947,48,22,39,175,-78.4,1,1
2952,48,22,39,249,-78.4,1,1
2957,48,22,43,318,-78.4,1,1
2961,48,22,41,387,-78.4,1,1
2966,48,22,41,502,-78,1,1
2971,48,22,37,582,-78,1,1
2976,48,22,48,653,-77.6,1,1
2981,48,22,38,769,-77.6,1,1
2986,48,22,43,854,-77.2,1,1
2991,48,22,41,936,-77.2,1,1
2995,48,22,42,1021,-76.8,1,1
3000,48,22,35,1126,-76.4,1,1
3005,47,22,37,1183,-76,0.97,1
3010,44,22,40,1285,-75.6,0.93,1
3015,42,22,35,1354,-75.2,0.88,1
3020,40,22,38,1408,-74.8,0.84,1
3025,38,22,38,1505,-74.4,0.8,1
3030,35,22,38,1582,-73.6,0.73,1
3035,33,22,32,1631,-73.2,0.7,1
3040,32,22,27,1694,-72.8,0.66,1
3044,29,22,22,1730,-72,0.61,1
3049,28,22,23,1760,-71.6,0.58,1
3054,27,22,25,1820,-71.2,0.56,1
3060,24,22,27,1856,-70.4,0.51,1
3065,23,22,27,1875,-70,0.49,1
