TIME,ARDUINO_TIME,EULER_Z,ADD_CUR,TARGET,RPBUF1,RPBUF2,RPBUF3,RPBUF4,RPBUF5,RPBUF6,RPBUF7,RPBUF8,POSBUF1,POSBUF2,POSBUF3,POSBUF4,POSBUF5,POSBUF6,POSBUF7,POSBUF8
0.00012159347534179688,44,-12.40,30,400,161,29,218,1,13,10,145,203,146,243,230,255,255,255,255,255
0.011750459671020508,54,-12.44,30,400,161,29,67,2,203,4,93,222,146,12,238,255,255,255,255,255
0.02489948272705078,68,-12.42,29,400,161,29,237,1,227,1,204,227,146,29,241,255,255,255,255,255
0.036002159118652344,78,-16.00,27,400,161,29,167,1,10,1,233,229,146,51,242,255,255,255,255,255
0.04440474510192871,92,-11.52,26,400,161,29,91,1,34,3,229,234,146,200,244,255,255,255,255,255
0.05666065216064453,102,-10.78,24,400,161,29,111,1,228,4,210,242,146,82,249,255,255,255,255,255
0.06897854804992676,111,-10.15,20,400,161,29,182,1,30,5,229,255,146,145,0,0,0,0,0,0
0.08117437362670898,126,-8.55,18,388,161,29,209,1,135,3,224,7,146,191,4,0,0,0,0,0
0.09020757675170898,135,-7.71,17,378,161,29,228,1,95,1,13,12,146,200,6,0,0,0,0,0
0.10191631317138672,144,-7.14,1,352,161,29,173,1,0,0,36,13,146,30,7,0,0,0,0,0
0.11008143424987793,153,-6.40,14,355,161,29,105,1,130,255,6,12,146,138,6,0,0,0,0,0
0.12224864959716797,167,-5.87,13,336,161,29,86,1,202,255,89,11,146,54,6,0,0,0,0,0
0.1339576244354248,177,-5.62,12,322,161,29,71,1,30,0,73,11,146,68,6,0,0,0,0,0
0.14289474487304688,186,-5.31,12,310,161,29,66,1,54,0,152,11,146,120,6,0,0,0,0,0
0.1515662670135498,195,-5.06,11,296,161,29,66,1,60,0,38,12,146,180,6,0,0,0,0,0
0.16234087944030762,209,-4.95,11,275,161,29,51,1,0,0,97,12,146,204,6,0,0,0,0,0
0.17473697662353516,218,-4.76,11,261,161,29,15,1,207,255,45,12,146,169,6,0,0,0,0,0
0.18355798721313477,228,-4.69,-4,230,161,29,6,1,171,255,172,11,146,71,6,0,0,0,0,0
0.19491982460021973,237,-4.57,10,230,161,29,236,0,125,255,129,10,146,183,5,0,0,0,0,0
0.2075965404510498,252,-4.47,10,204,161,29,216,0,0,0,23,10,146,139,5,0,0,0,0,0
0.21596384048461914,260,-4.40,10,190,161,29,208,0,16,0,44,10,146,152,5,0,0,0,0,0
0.22427058219909668,269,-4.31,10,175,161,29,210,0,229,255,36,10,146,137,5,0,0,0,0,0
0.2330777645111084,277,-4.22,10,160,161,29,166,0,199,255,226,9,146,78,5,0,0,0,0,0
0.24434828758239746,287,-4.17,10,142,161,29,170,0,111,255,59,9,146,209,4,0,0,0,0,0
0.2528543472290039,296,-4.15,10,126,161,29,146,0,61,255,132,7,146,6,4,0,0,0,0,0
0.2653038501739502,309,-4.14,10,101,161,29,123,0,249,254,198,5,146,10,3,0,0,0,0,0
0.2741968631744385,318,-4.21,10,84,161,29,126,0,128,254,152,3,146,91,1,0,0,0,0,0
0.285564661026001,327,-4.27,10,67,161,29,107,0,26,254,131,255,146,127,255,255,255,255,255,255
0.2981240749359131,343,-4.46,11,38,161,29,67,0,249,253,194,251,146,108,253,255,255,255,255,255
0.31021833419799805,353,-4.58,11,19,161,29,48,0,183,253,220,247,146,147,250,255,255,255,255,255
0.3187687397003174,362,-4.71,0,0,161,29,25,0,52,253,114,241,146,166,247,255,255,255,255,255
0.3322587013244629,377,-5.06,0,-1,161,29,26,0,195,252,208,235,146,129,244,255,255,255,255,255
0.3428685665130615,386,-5.27,0,-2,161,29,17,0,137,252,139,227,146,249,239,255,255,255,255,255
0.3552837371826172,400,-5.91,0,-4,161,29,1,0,99,252,181,220,146,40,236,255,255,255,255,255
0.36762404441833496,410,-6.31,0,-5,161,29,7,0,74,252,215,213,146,204,231,255,255,255,255,255
0.37664151191711426,421,-6.58,0,-6,161,29,252,255,129,252,180,204,146,99,227,255,255,255,255,255
0.39255666732788086,435,-8.26,0,-7,161,29,238,255,176,252,32,198,146,185,222,255,255,255,255,255
0.40408778190612793,449,-9.55,0,-8,161,29,2,0,212,252,210,189,146,65,219,255,255,255,255,255
0.416456937789917,460,-10.10,0,-9,161,29,246,255,231,252,226,183,146,0,216,255,255,255,255,255
0.42847204208374023,470,-10.65,0,-10,161,29,242,255,5,253,90,178,146,30,212,255,255,255,255,255
0.43739819526672363,483,-11.27,0,-11,161,29,245,255,52,253,62,171,146,23,209,255,255,255,255,255
0.4501914978027344,494,-11.67,0,-12,161,29,241,255,104,253,37,166,146,129,205,255,255,255,255,255
0.46188783645629883,505,-12.15,0,-13,161,29,240,255,142,253,117,159,146,170,202,255,255,255,255,255
0.47455430030822754,519,-13.03,0,-14,161,29,239,255,170,253,169,154,146,13,200,255,255,255,255,255
0.48673176765441895,533,-13.46,0,-15,161,29,234,255,233,253,240,148,146,239,196,255,255,255,255,255
0.4993150234222412,544,-13.90,0,-15,161,29,234,255,46,254,76,145,146,125,194,255,255,255,255,255
0.5111608505249023,554,-14.00,0,-16,161,29,221,255,241,254,140,141,146,2,193,255,255,255,255,255
0.5238964557647705,568,-13.93,0,-17,161,29,219,255,152,255,38,140,146,66,192,255,255,255,255,255
0.5356934070587158,578,-13.82,0,-17,161,29,215,255,0,0,192,139,146,39,192,255,255,255,255,255
0.5481019020080566,593,-13.62,0,-18,161,29,228,255,57,0,19,140,146,90,192,255,255,255,255,255
0.5602154731750488,603,-13.02,0,-19,161,29,230,255,90,0,161,140,146,198,192,255,255,255,255,255
0.5721430778503418,616,-12.46,0,-19,161,29,236,255,104,0,160,141,146,58,193,255,255,255,255,255
0.5843930244445801,626,-12.18,0,-20,161,29,225,255,85,0,85,142,146,178,193,255,255,255,255,255
0.5936174392700195,637,-11.96,0,-20,161,29,233,255,76,0,36,143,146,10,194,255,255,255,255,255
0.6088700294494629,652,-11.59,0,-20,161,29,230,255,30,0,147,143,146,71,194,255,255,255,255,255
0.6213231086730957,662,-11.36,0,-21,161,29,252,255,240,255,164,143,146,71,194,255,255,255,255,255
0.6338491439819336,677,-11.39,0,-21,161,29,250,255,0,0,148,143,146,62,194,255,255,255,255,255
0.6431655883789062,686,-11.46,0,-21,161,29,231,255,0,0,147,143,146,63,194,255,255,255,255,255
0.6547529697418213,700,-11.57,0,-21,161,29,232,255,0,0,146,143,146,62,194,255,255,255,255,255
0.6671726703643799,710,-11.68,0,-21,161,29,231,255,0,0,140,143,146,58,194,255,255,255,255,255
0.6788980960845947,721,-11.81,0,-21,161,29,230,255,243,255,134,143,146,54,194,255,255,255,255,255
0.6918630599975586,735,-12.00,0,-21,161,29,252,255,229,255,86,143,146,27,194,255,255,255,255,255
0.7075016498565674,751,-12.39,0,-21,161,29,231,255,246,255,60,143,146,14,194,255,255,255,255,255
0.719684362411499,762,-12.59,0,-21,161,29,231,255,254,255,47,143,146,7,194,255,255,255,255,255
0.7320041656494141,776,-12.74,0,-21,161,29,229,255,0,0,46,143,146,8,194,255,255,255,255,255
0.7442488670349121,786,-12.97,0,-20,161,29,231,255,19,0,57,143,146,13,194,255,255,255,255,255
0.7528715133666992,800,-13.11,0,-20,161,29,225,255,0,0,57,143,146,13,194,255,255,255,255,255
0.7685699462890625,810,-13.35,0,-19,161,29,233,255,0,0,57,143,146,14,194,255,255,255,255,255
0.7777113914489746,824,-13.51,0,-19,161,29,237,255,0,0,63,143,146,16,194,255,255,255,255,255
0.7902522087097168,834,-13.52,0,-18,161,29,234,255,0,0,67,143,146,19,194,255,255,255,255,255
0.8018391132354736,845,-13.58,0,-18,161,29,238,255,0,0,71,143,146,21,194,255,255,255,255,255
0.814725399017334,859,-13.57,0,-17,161,29,235,255,0,0,84,143,146,29,194,255,255,255,255,255
0.8262512683868408,868,-13.66,0,-17,161,29,228,255,0,0,99,143,146,40,194,255,255,255,255,255
0.8383693695068359,882,-13.67,0,-16,161,29,238,255,0,0,109,143,146,42,194,255,255,255,255,255
0.8506479263305664,894,-13.61,0,-15,161,29,235,255,237,255,97,143,146,30,194,255,255,255,255,255
0.8628168106079102,904,0.00,0,-14,161,29,236,255,0,0,76,143,146,24,194,255,255,255,255,255
0.8720090389251709,917,-13.21,0,-13,161,29,230,255,0,0,79,143,146,26,194,255,255,255,255,255
0.8841745853424072,928,-12.99,0,-12,161,29,4,0,10,0,91,143,146,34,194,255,255,255,255,255
0.8957784175872803,941,-12.68,0,-11,161,29,255,255,0,0,110,143,146,43,194,255,255,255,255,255
0.9086546897888184,952,-12.31,0,-10,161,29,226,255,237,255,114,143,146,44,194,255,255,255,255,255
0.9209976196289062,967,-11.60,0,-9,161,29,240,255,235,255,104,143,146,39,194,255,255,255,255,255
0.9345793724060059,977,-11.40,0,-8,161,29,10,0,0,0,98,143,146,33,194,255,255,255,255,255
0.94537353515625,991,-11.24,0,-7,161,29,229,255,248,255,80,143,146,26,194,255,255,255,255,255
0.95751953125,1001,-11.10,0,-6,161,29,0,0,0,0,85,143,146,31,194,255,255,255,255,255
0.9696559906005859,1012,-10.98,0,-5,161,29,8,0,5,0,95,143,146,34,194,255,255,255,255,255
0.9816732406616211,1026,-10.77,0,-4,161,29,6,0,2,0,102,143,146,38,194,255,255,255,255,255
0.9938580989837646,1035,-10.68,0,-3,161,29,232,255,0,0,115,143,146,46,194,255,255,255,255,255
1.006465196609497,1050,-10.43,0,-2,161,29,233,255,0,0,121,143,146,49,194,255,255,255,255,255
