TIME,VAL1,VAL2,VAl3,VAl4,VAl5,VAl6
0.7944140434265137,-3560,-3470,-2570,255,255,255
0.8064253330230713,-3561,-3471,-2571,255,255,255
0.8154921531677246,-3562,-3472,-2572,255,255,255
0.823491096496582,-3563,-3473,-2573,255,255,255
0.8356175422668457,-3564,-3474,-2574,255,255,255
0.8445723056793213,-3565,-3475,-2575,255,255,255
0.8557286262512207,-3566,-3476,-2576,255,255,255
0.8679921627044678,-3567,-3477,-2577,255,255,255
0.8770287036895752,-3568,-3478,-2578,255,255,255
0.8850448131561279,-3569,-3479,-2579,255,255,255
0.8970332145690918,-3570,-3480,-2580,255,255,255
0.9060256481170654,-3571,-3481,-2581,255,255,255
0.9200408458709717,-3572,-3482,-2582,255,255,255
0.9319989681243896,-3573,-3483,-2583,255,255,255
0.9467737674713135,-3574,-3484,-2584,255,255,255
0.9590437412261963,-3575,-3485,-2585,255,255,255
0.9670286178588867,-3576,-3486,-2586,255,255,255
0.9790225028991699,-3577,-3487,-2587,255,255,255
0.9910128116607666,-3578,-3488,-2588,255,255,255
1.0039355754852295,-3579,-3489,-2589,255,255,255
1.0119309425354004,-3580,-3490,-2590,255,255,255
1.0241081714630127,-3581,-3491,-2591,255,255,255
1.0321228504180908,-3582,-3492,-2592,255,255,255
1.0404362678527832,-3583,-3493,-2593,255,255,255
1.0526883602142334,-3584,-3494,-2594,255,255,255
1.0616950988769531,-3585,-3495,-2595,255,255,255
1.0696907043457031,-3586,-3496,-2596,255,255,255
1.0819058418273926,-3587,-3497,-2597,255,255,255
1.0902345180511475,-3588,-3498,-2598,255,255,255
1.1019582748413086,-3589,-3499,-2599,255,255,255
1.1099226474761963,-3590,-3500,-2600,255,255,255
1.1223084926605225,-3591,-3501,-2601,255,255,255
1.130819320678711,-3592,-3502,-2602,255,255,255
1.1423828601837158,-3593,-3503,-2603,255,255,255
1.1546947956085205,-3594,-3504,-2604,255,255,255
1.1636812686920166,-3595,-3505,-2605,255,255,255
1.1752557754516602,-3596,-3506,-2606,255,255,255
1.184250831604004,-3597,-3507,-2607,255,255,255
1.1962435245513916,-3598,-3508,-2608,255,255,255
1.204239845275879,-3599,-3509,-2609,255,255,255
1.2205471992492676,-3600,-3510,-2610,255,255,255
1.2293899059295654,-3601,-3511,-2611,255,255,255
1.2404673099517822,-3602,-3512,-2612,255,255,255
1.2537627220153809,-3603,-3513,-2613,255,255,255
1.2617485523223877,-3604,-3514,-2614,255,255,255
1.2699699401855469,-3605,-3515,-2615,255,255,255
1.2863333225250244,-3606,-3516,-2616,255,255,255
1.2943284511566162,-3607,-3517,-2617,255,255,255
1.3097403049468994,-3608,-3518,-2618,255,255,255
1.3197417259216309,-3609,-3519,-2619,255,255,255
1.3398089408874512,-3610,-3520,-2620,255,255,255
1.3478033542633057,-3611,-3521,-2621,255,255,255
1.3561644554138184,-3612,-3522,-2622,255,255,255
1.3677983283996582,-3613,-3523,-2623,255,255,255
1.3767945766448975,-3614,-3524,-2624,255,255,255
1.3882873058319092,-3615,-3525,-2625,255,255,255
1.397308111190796,-3616,-3526,-2626,255,255,255
1.408890724182129,-3617,-3527,-2627,255,255,255
1.4171254634857178,-3618,-3528,-2628,255,255,255
1.4301083087921143,-3619,-3529,-2629,255,255,255
1.4379615783691406,-3620,-3530,-2630,255,255,255
1.4495677947998047,-3621,-3531,-2631,255,255,255
1.4587419033050537,-3622,-3532,-2632,255,255,255
1.4708456993103027,-3623,-3533,-2633,255,255,255
1.478879451751709,-3624,-3534,-2634,255,255,255
1.4909346103668213,-3625,-3535,-2635,255,255,255
1.5029816627502441,-3626,-3536,-2636,255,255,255
1.5114998817443848,-3627,-3537,-2637,255,255,255
1.5234951972961426,-3628,-3538,-2638,255,255,255
1.536933422088623,-3629,-3539,-2639,255,255,255
1.547938585281372,-3630,-3540,-2640,255,255,255
1.5570743083953857,-3631,-3541,-2641,255,255,255
1.5690927505493164,-3632,-3542,-2642,255,255,255
1.5771043300628662,-3633,-3543,-2643,255,255,255
1.5853028297424316,-3634,-3544,-2644,255,255,255
1.5974254608154297,-3635,-3545,-2645,255,255,255
1.6061375141143799,-3636,-3546,-2646,255,255,255
1.6181375980377197,-3637,-3547,-2647,255,255,255
1.6301255226135254,-3638,-3548,-2648,255,255,255
1.6432440280914307,-3639,-3549,-2649,255,255,255
1.6753816604614258,-3640,-3550,-2650,255,255,255
1.6834971904754639,-3641,-3551,-2651,255,255,255
1.6914923191070557,-3642,-3552,-2652,255,255,255
1.7039504051208496,-3643,-3553,-2653,255,255,255
1.712608814239502,-3644,-3554,-2654,255,255,255
1.7245893478393555,-3645,-3555,-2655,255,255,255
1.7326116561889648,-3646,-3556,-2656,255,255,255
1.7416484355926514,-3647,-3557,-2657,255,255,255
1.7531116008758545,-3648,-3558,-2658,255,255,255
1.7620725631713867,-3649,-3559,-2659,255,255,255
1.7735927104949951,-3650,-3560,-2660,255,255,255
1.7821435928344727,-3651,-3561,-2661,255,255,255
1.7906157970428467,-3652,-3562,-2662,255,255,255
1.80271577835083,-3653,-3563,-2663,255,255,255
1.8104832172393799,-3654,-3564,-2664,255,255,255
1.8247182369232178,-3655,-3565,-2665,255,255,255
1.8357110023498535,-3656,-3566,-2666,255,255,255
1.8557207584381104,-3657,-3567,-2667,255,255,255
1.863743782043457,-3658,-3568,-2668,255,255,255
1.871786117553711,-3659,-3569,-2669,255,255,255
1.8800930976867676,-3660,-3570,-2670,255,255,255
1.8918445110321045,-3661,-3571,-2671,255,255,255
1.9008357524871826,-3662,-3572,-2672,255,255,255
1.9128563404083252,-3663,-3573,-2673,255,255,255
1.921058177947998,-3664,-3574,-2674,255,255,255
1.9290411472320557,-3665,-3575,-2675,255,255,255
1.9418385028839111,-3666,-3576,-2676,255,255,255
1.9538867473602295,-3667,-3577,-2677,255,255,255
1.961937665939331,-3668,-3578,-2678,255,255,255
1.974031925201416,-3669,-3579,-2679,255,255,255
1.9830124378204346,-3670,-3580,-2680,255,255,255
1.994377851486206,-3671,-3581,-2681,255,255,255
2.0033955574035645,-3672,-3582,-2682,255,255,255
2.0113935470581055,-3673,-3583,-2683,255,255,255
2.0234527587890625,-3674,-3584,-2684,255,255,255
2.035475730895996,-3675,-3585,-2685,255,255,255
2.0444729328155518,-3676,-3586,-2686,255,255,255
2.0560646057128906,-3677,-3587,-2687,255,255,255
2.068991184234619,-3678,-3588,-2688,255,255,255
2.0809884071350098,-3679,-3589,-2689,255,255,255
2.089134693145752,-3680,-3590,-2690,255,255,255
2.102067232131958,-3681,-3591,-2691,255,255,255
2.1130778789520264,-3682,-3592,-2692,255,255,255
2.1223936080932617,-3683,-3593,-2693,255,255,255
2.1379120349884033,-3684,-3594,-2694,255,255,255
2.146897315979004,-3685,-3595,-2695,255,255,255
2.1583657264709473,-3686,-3596,-2696,255,255,255
2.1714115142822266,-3687,-3597,-2697,255,255,255
2.1794261932373047,-3688,-3598,-2698,255,255,255
2.187504291534424,-3689,-3599,-2699,255,255,255
2.199535369873047,-3690,-3600,-2700,255,255,255
2.20752215385437,-3691,-3601,-2701,255,255,255
2.2200121879577637,-3692,-3602,-2702,255,255,255
2.2289552688598633,-3693,-3603,-2703,255,255,255
2.240469217300415,-3694,-3604,-2704,255,255,255
2.2487521171569824,-3695,-3605,-2705,255,255,255
2.2577381134033203,-3696,-3606,-2706,255,255,255
2.2693569660186768,-3697,-3607,-2707,255,255,255
2.277827739715576,-3698,-3608,-2708,255,255,255
2.289368152618408,-3699,-3609,-2709,255,255,255
2.2985479831695557,-3700,-3610,-2710,255,255,255
2.3095438480377197,-3701,-3611,-2711,255,255,255
2.322535991668701,-3702,-3612,-2712,255,255,255
2.3305439949035645,-3703,-3613,-2713,255,255,255
2.339524507522583,-3704,-3614,-2714,255,255,255
2.354515552520752,-3705,-3615,-2715,255,255,255
2.3635106086730957,-3706,-3616,-2716,255,255,255
2.3755037784576416,-3707,-3617,-2717,255,255,255
